UF;Município;Cod_Município;CN;Cep_Início;Cep_Fim
AC;Acrelândia;1200013;68;69900-000;69999-999
AC;Assis Brasil;1200054;68;69900-000;69999-999
AC;Brasiléia;1200104;68;69900-000;69999-999
AC;Bujari;1200138;68;69900-000;69999-999
AC;Capixaba;1200179;68;69900-000;69999-999
AC;Cruzeiro Do Sul;1200203;68;69900-000;69999-999
AC;Epitaciolândia;1200252;68;69900-000;69999-999
AC;Feijó;1200302;68;69900-000;69999-999
AC;Jordão;1200328;68;69900-000;69999-999
AC;Mâncio Lima;1200336;68;69900-000;69999-999
AC;Manoel Urbano;1200344;68;69900-000;69999-999
AC;Marechal Thaumaturgo;1200351;68;69900-000;69999-999
AC;Plácido De Castro;1200385;68;69900-000;69999-999
AC;Porto Acre;1200807;68;69900-000;69999-999
AC;Porto Walter;1200393;68;69900-000;69999-999
AC;Rio Branco;1200401;68;69900-000;69999-999
AC;Rodrigues Alves;1200427;68;69900-000;69999-999
AC;Santa Rosa Do Purus;1200435;68;69900-000;69999-999
AC;Sena Madureira;1200500;68;69900-000;69999-999
AC;Senador Guiomard;1200450;68;69900-000;69999-999
AC;Tarauacá;1200609;68;69900-000;69999-999
AC;Xapuri;1200708;68;69900-000;69999-999
AL;Água Branca;2700102;82;57000-000;57999-999
AL;Anadia;2700201;82;57000-000;57999-999
AL;Arapiraca;2700300;82;57000-000;57999-999
AL;Atalaia;2700409;82;57000-000;57999-999
AL;Barra De Santo Antônio;2700508;82;57000-000;57999-999
AL;Barra De São Miguel;2700607;82;57000-000;57999-999
AL;Batalha;2700706;82;57000-000;57999-999
AL;Belém;2700805;82;57000-000;57999-999
AL;Belo Monte;2700904;82;57000-000;57999-999
AL;Boca Da Mata;2701001;82;57000-000;57999-999
AL;Branquinha;2701100;82;57000-000;57999-999
AL;Cacimbinhas;2701209;82;57000-000;57999-999
AL;Cajueiro;2701308;82;57000-000;57999-999
AL;Campestre;2701357;82;57000-000;57999-999
AL;Campo Alegre;2701407;82;57000-000;57999-999
AL;Campo Grande;2701506;82;57000-000;57999-999
AL;Canapi;2701605;82;57000-000;57999-999
AL;Capela;2701704;82;57000-000;57999-999
AL;Carneiros;2701803;82;57000-000;57999-999
AL;Chã Preta;2701902;82;57000-000;57999-999
AL;Coité Do Nóia;2702009;82;57000-000;57999-999
AL;Colônia Leopoldina;2702108;82;57000-000;57999-999
AL;Coqueiro Seco;2702207;82;57000-000;57999-999
AL;Coruripe;2702306;82;57000-000;57999-999
AL;Craíbas;2702355;82;57000-000;57999-999
AL;Delmiro Gouveia;2702405;82;57000-000;57999-999
AL;Dois Riachos;2702504;82;57000-000;57999-999
AL;Estrela De Alagoas;2702553;82;57000-000;57999-999
AL;Feira Grande;2702603;82;57000-000;57999-999
AL;Feliz Deserto;2702702;82;57000-000;57999-999
AL;Flexeiras;2702801;82;57000-000;57999-999
AL;Girau Do Ponciano;2702900;82;57000-000;57999-999
AL;Ibateguara;2703007;82;57000-000;57999-999
AL;Igaci;2703106;82;57000-000;57999-999
AL;Igreja Nova;2703205;82;57000-000;57999-999
AL;Inhapi;2703304;82;57000-000;57999-999
AL;Jacaré Dos Homens;2703403;82;57000-000;57999-999
AL;Jacuípe;2703502;82;57000-000;57999-999
AL;Japaratinga;2703601;82;57000-000;57999-999
AL;Jaramataia;2703700;82;57000-000;57999-999
AL;Jequiá Da Praia;2703759;82;57000-000;57999-999
AL;Joaquim Gomes;2703809;82;57000-000;57999-999
AL;Jundiá;2703908;82;57000-000;57999-999
AL;Junqueiro;2704005;82;57000-000;57999-999
AL;Lagoa Da Canoa;2704104;82;57000-000;57999-999
AL;Limoeiro De Anadia;2704203;82;57000-000;57999-999
AL;Maceió;2704302;82;57010-000;57014-515
AL;Major Isidoro;2704401;82;57000-000;57999-999
AL;Mar Vermelho;2704906;82;57000-000;57999-999
AL;Maragogi;2704500;82;57000-000;57999-999
AL;Maravilha;2704609;82;57000-000;57999-999
AL;Marechal Deodoro;2704708;82;57000-000;57999-999
AL;Maribondo;2704807;82;57000-000;57999-999
AL;Mata Grande;2705002;82;57000-000;57999-999
AL;Matriz De Camaragibe;2705101;82;57000-000;57999-999
AL;Messias;2705200;82;57000-000;57999-999
AL;Minador Do Negrão;2705309;82;57000-000;57999-999
AL;Monteirópolis;2705408;82;57000-000;57999-999
AL;Murici;2705507;82;57000-000;57999-999
AL;Novo Lino;2705606;82;57000-000;57999-999
AL;Olho D'Água Das Flores;2705705;82;57000-000;57999-999
AL;Olho D'Água Do Casado;2705804;82;57000-000;57999-999
AL;Olho D'Água Grande;2705903;82;57000-000;57999-999
AL;Olivença;2706000;82;57000-000;57999-999
AL;Ouro Branco;2706109;82;57000-000;57999-999
AL;Palestina;2706208;82;57000-000;57999-999
AL;Palmeira Dos Índios;2706307;82;57000-000;57999-999
AL;Pão De Açúcar;2706406;82;57000-000;57999-999
AL;Pariconha;2706422;82;57000-000;57999-999
AL;Paripueira;2706448;82;57000-000;57999-999
AL;Passo De Camaragibe;2706505;82;57000-000;57999-999
AL;Paulo Jacinto;2706604;82;57000-000;57999-999
AL;Penedo;2706703;82;57000-000;57999-999
AL;Piaçabuçu;2706802;82;57000-000;57999-999
AL;Pilar;2706901;82;57000-000;57999-999
AL;Pindoba;2707008;82;57000-000;57999-999
AL;Piranhas;2707107;82;57000-000;57999-999
AL;Poço Das Trincheiras;2707206;82;57000-000;57999-999
AL;Porto Calvo;2707305;82;57000-000;57999-999
AL;Porto De Pedras;2707404;82;57000-000;57999-999
AL;Porto Real Do Colégio;2707503;82;57000-000;57999-999
AL;Quebrangulo;2707602;82;57000-000;57999-999
AL;Rio Largo;2707701;82;57000-000;57999-999
AL;Roteiro;2707800;82;57000-000;57999-999
AL;Santa Luzia Do Norte;2707909;82;57000-000;57999-999
AL;Santana Do Ipanema;2708006;82;57000-000;57999-999
AL;Santana Do Mundaú;2708105;82;57000-000;57999-999
AL;São Brás;2708204;82;57000-000;57999-999
AL;São José Da Laje;2708303;82;57000-000;57999-999
AL;São José Da Tapera;2708402;82;57000-000;57999-999
AL;São Luís Do Quitunde;2708501;82;57000-000;57999-999
AL;São Miguel Dos Campos;2708600;82;57000-000;57999-999
AL;São Miguel Dos Milagres;2708709;82;57000-000;57999-999
AL;São Sebastião;2708808;82;57000-000;57999-999
AL;Satuba;2708907;82;57000-000;57999-999
AL;Senador Rui Palmeira;2708956;82;57000-000;57999-999
AL;Tanque D'Arca;2709004;82;57000-000;57999-999
AL;Taquarana;2709103;82;57000-000;57999-999
AL;Teotônio Vilela;2709152;82;57000-000;57999-999
AL;Traipu;2709202;82;57000-000;57999-999
AL;União Dos Palmares;2709301;82;57000-000;57999-999
AL;Viçosa;2709400;82;57000-000;57999-999
AM;Alvarães;1300029;97;69000-000;69899-999
AM;Amaturá;1300060;97;69000-000;69899-999
AM;Anamã;1300086;97;69000-000;69899-999
AM;Anori;1300102;97;69000-000;69899-999
AM;Apuí;1300144;97;69000-000;69899-999
AM;Atalaia Do Norte;1300201;97;69000-000;69899-999
AM;Autazes;1300300;92;69000-000;69899-999
AM;Barcelos;1300409;97;69000-000;69899-999
AM;Barreirinha;1300508;92;69000-000;69899-999
AM;Benjamin Constant;1300607;97;69000-000;69899-999
AM;Beruri;1300631;97;69000-000;69899-999
AM;Boa Vista Do Ramos;1300680;92;69000-000;69899-999
AM;Boca Do Acre;1300706;97;69000-000;69899-999
AM;Borba;1300805;92;69000-000;69899-999
AM;Caapiranga;1300839;92;69000-000;69899-999
AM;Canutama;1300904;97;69000-000;69899-999
AM;Carauari;1301001;97;69000-000;69899-999
AM;Careiro;1301100;92;69000-000;69899-999
AM;Careiro Da Várzea;1301159;92;69000-000;69899-999
AM;Coari;1301209;97;69000-000;69899-999
AM;Codajás;1301308;97;69000-000;69899-999
AM;Eirunepé;1301407;97;69000-000;69899-999
AM;Envira;1301506;97;69000-000;69899-999
AM;Fonte Boa;1301605;97;69000-000;69899-999
AM;Guajará;1301654;97;69000-000;69899-999
AM;Humaitá;1301704;97;69000-000;69899-999
AM;Ipixuna;1301803;97;69000-000;69899-999
AM;Iranduba;1301852;92;69000-000;69899-999
AM;Itacoatiara;1301902;92;69000-000;69899-999
AM;Itamarati;1301951;97;69000-000;69899-999
AM;Itapiranga;1302009;92;69000-000;69899-999
AM;Japurá;1302108;97;69000-000;69899-999
AM;Juruá;1302207;97;69000-000;69899-999
AM;Jutaí;1302306;97;69000-000;69899-999
AM;Lábrea;1302405;97;69000-000;69899-999
AM;Manacapuru;1302504;92;69000-000;69899-999
AM;Manaquiri;1302553;92;69000-000;69899-999
AM;Manaus;1302603;92;69000-000;69010-130
AM;Manicoré;1302702;97;69000-000;69899-999
AM;Maraã;1302801;97;69000-000;69899-999
AM;Maués;1302900;92;69000-000;69899-999
AM;Nhamundá;1303007;92;69000-000;69899-999
AM;Nova Olinda Do Norte;1303106;92;69000-000;69899-999
AM;Novo Airão;1303205;92;69000-000;69899-999
AM;Novo Aripuanã;1303304;97;69000-000;69899-999
AM;Parintins;1303403;92;69000-000;69899-999
AM;Pauini;1303502;97;69000-000;69899-999
AM;Presidente Figueiredo;1303536;92;69000-000;69899-999
AM;Rio Preto Da Eva;1303569;92;69000-000;69899-999
AM;Santa Isabel Do Rio Negro;1303601;97;69000-000;69899-999
AM;Santo Antônio Do Içá;1303700;97;69000-000;69899-999
AM;São Gabriel Da Cachoeira;1303809;97;69000-000;69899-999
AM;São Paulo De Olivença;1303908;97;69000-000;69899-999
AM;São Sebastião Do Uatumã;1303957;92;69000-000;69899-999
AM;Silves;1304005;92;69000-000;69899-999
AM;Tabatinga;1304062;97;69000-000;69899-999
AM;Tapauá;1304104;97;69000-000;69899-999
AM;Tefé;1304203;97;69000-000;69899-999
AM;Tonantins;1304237;97;69000-000;69899-999
AM;Uarini;1304260;97;69000-000;69899-999
AM;Urucará;1304302;92;69000-000;69899-999
AM;Urucurituba;1304401;92;69000-000;69899-999
AP;Amapá;1600105;96;68900-000;68999-999
AP;Calçoene;1600204;96;68900-000;68999-999
AP;Cutias;1600212;96;68900-000;68999-999
AP;Ferreira Gomes;1600238;96;68900-000;68999-999
AP;Itaubal;1600253;96;68900-000;68999-999
AP;Laranjal Do Jari;1600279;96;68900-000;68999-999
AP;Macapá;1600303;96;68900-000;68902-871
AP;Mazagão;1600402;96;68900-000;68999-999
AP;Oiapoque;1600501;96;68900-000;68999-999
AP;Pedra Branca Do Amapari;1600154;96;68900-000;68999-999
AP;Porto Grande;1600535;96;68997-000; 68997-970
AP;Pracuúba;1600550;96;68900-000;68999-999
AP;Santana;1600600;96;68909-017;68929-568
AP;Serra Do Navio;1600055;96;68900-000;68999-999
AP;Tartarugalzinho;1600709;96;68900-000;68999-999
AP;Vitória Do Jari;1600808;96;68900-000;68999-999
BA;Abaíra;2900108;77;40000-000;48999-999
BA;Abaré;2900207;75;40000-000;48999-999
BA;Acajutiba;2900306;75;40000-000;48999-999
BA;Adustina;2900355;75;40000-000;48999-999
BA;Água Fria;2900405;75;40000-000;48999-999
BA;Aiquara;2900603;73;40000-000;48999-999
BA;Alagoinhas;2900702;75;40000-000;48999-999
BA;Alcobaça;2900801;73;40000-000;48999-999
BA;Almadina;2900900;73;40000-000;48999-999
BA;Amargosa;2901007;75;40000-000;48999-999
BA;Amélia Rodrigues;2901106;75;40000-000;48999-999
BA;América Dourada;2901155;74;40000-000;48999-999
BA;Anagé;2901205;77;40000-000;48999-999
BA;Andaraí;2901304;75;40000-000;48999-999
BA;Andorinha;2901353;74;40000-000;48999-999
BA;Angical;2901403;77;40000-000;48999-999
BA;Anguera;2901502;75;40000-000;48999-999
BA;Antas;2901601;75;40000-000;48999-999
BA;Antônio Cardoso;2901700;75;40000-000;48999-999
BA;Antônio Gonçalves;2901809;74;40000-000;48999-999
BA;Aporá;2901908;75;40000-000;48999-999
BA;Apuarema;2901957;73;40000-000;48999-999
BA;Araças;2902054;75;40000-000;48999-999
BA;Aracatu;2902005;77;40000-000;48999-999
BA;Araci;2902104;75;40000-000;48999-999
BA;Aramari;2902203;75;40000-000;48999-999
BA;Arataca;2902252;73;40000-000;48999-999
BA;Aratuípe;2902302;75;40000-000;48999-999
BA;Aurelino Leal;2902401;73;40000-000;48999-999
BA;Baianópolis;2902500;77;40000-000;48999-999
BA;Baixa Grande;2902609;74;40000-000;48999-999
BA;Banzaê;2902658;75;40000-000;48999-999
BA;Barra;2902708;74;40000-000;48999-999
BA;Barra Da Estiva;2902807;77;40000-000;48999-999
BA;Barra Do Choça;2902906;77;40000-000;48999-999
BA;Barra Do Mendes;2903003;74;40000-000;48999-999
BA;Barra Do Rocha;2903102;73;40000-000;48999-999
BA;Barreiras;2903201;77;47800-010;47802-666
BA;Barro Alto;2903235;74;40000-000;48999-999
BA;Barro Preto;2903300;73;40000-000;48999-999
BA;Barrocas;2903276;75;40000-000;48999-999
BA;Belmonte;2903409;73;40000-000;48999-999
BA;Belo Campo;2903508;77;40000-000;48999-999
BA;Biritinga;2903607;75;40000-000;48999-999
BA;Boa Nova;2903706;77;40000-000;48999-999
BA;Boa Vista Do Tupim;2903805;75;40000-000;48999-999
BA;Bom Jesus Da Lapa;2903904;77;40000-000;48999-999
BA;Bom Jesus Da Serra;2903953;77;40000-000;48999-999
BA;Boninal;2904001;75;40000-000;48999-999
BA;Bonito;2904050;75;40000-000;48999-999
BA;Boquira;2904100;77;40000-000;48999-999
BA;Botuporã;2904209;77;40000-000;48999-999
BA;Brejões;2904308;75;40000-000;48999-999
BA;Brejolândia;2904407;77;40000-000;48999-999
BA;Brotas De Macaúbas;2904506;77;40000-000;48999-999
BA;Brumado;2904605;77;46100-000;46140-000
BA;Buerarema;2904704;73;40000-000;48999-999
BA;Buritirama;2904753;77;40000-000;48999-999
BA;Caatiba;2904803;77;40000-000;48999-999
BA;Cabaceiras Do Paraguaçu;2904852;75;40000-000;48999-999
BA;Cachoeira;2904902;75;44500-000;48999-999
BA;Caculé;2905008;77;40000-000;48999-999
BA;Caém;2905107;74;40000-000;48999-999
BA;Caetanos;2905156;77;40000-000;48999-999
BA;Caetité;2905206;77;40000-000;48999-999
BA;Cafarnaum;2905305;74;40000-000;48999-999
BA;Cairu;2905404;75;40000-000;48999-999
BA;Caldeirão Grande;2905503;74;40000-000;48999-999
BA;Camacan;2905602;73;40000-000;48999-999
BA;Camaçari;2905701;71;42800-210;42800-210
BA;Camamu;2905800;73;40000-000;48999-999
BA;Campo Alegre De Lourdes;2905909;74;40000-000;48999-999
BA;Campo Formoso;2906006;74;40000-000;48999-999
BA;Canápolis;2906105;77;40000-000;48999-999
BA;Canarana;2906204;74;40000-000;48999-999
BA;Canavieiras;2906303;73;40000-000;48999-999
BA;Candeal;2906402;75;40000-000;48999-999
BA;Candeias;2906501;71;40000-000;48999-999
BA;Candiba;2906600;77;40000-000;48999-999
BA;Cândido Sales;2906709;77;40000-000;48999-999
BA;Cansanção;2906808;75;40000-000;48999-999
BA;Canudos;2906824;75;40000-000;48999-999
BA;Capela Do Alto Alegre;2906857;75;40000-000;48999-999
BA;Capim Grosso;2906873;74;40000-000;48999-999
BA;Caraíbas;2906899;77;40000-000;48999-999
BA;Caravelas;2906907;73;40000-000;48999-999
BA;Cardeal Da Silva;2907004;75;40000-000;48999-999
BA;Carinhanha;2907103;77;40000-000;48999-999
BA;Casa Nova;2907202;74;40000-000;48999-999
BA;Castro Alves;2907301;75;40000-000;48999-999
BA;Catolândia;2907400;77;40000-000;48999-999
BA;Catu;2907509;71;40000-000;48999-999
BA;Caturama;2907558;77;40000-000;48999-999
BA;Central;2907608;74;40000-000;48999-999
BA;Chorrochó;2907707;75;40000-000;48999-999
BA;Cícero Dantas;2907806;75;40000-000;48999-999
BA;Cipó;2907905;75;40000-000;48999-999
BA;Coaraci;2908002;73;40000-000;48999-999
BA;Cocos;2908101;77;40000-000;48999-999
BA;Conceição Da Feira;2908200;75;40000-000;48999-999
BA;Conceição Do Almeida;2908309;75;40000-000;48999-999
BA;Conceição Do Coité;2908408;75;40000-000;48999-999
BA;Conceição Do Jacuípe;2908507;75;40000-000;48999-999
BA;Conde;2908606;75;40000-000;48999-999
BA;Condeúba;2908705;77;40000-000;48999-999
BA;Contendas Do Sincorá;2908804;77;40000-000;48999-999
BA;Coração De Maria;2908903;75;40000-000;48999-999
BA;Cordeiros;2909000;77;40000-000;48999-999
BA;Coribe;2909109;77;40000-000;48999-999
BA;Coronel João Sá;2909208;75;40000-000;48999-999
BA;Correntina;2909307;77;40000-000;48999-999
BA;Cotegipe;2909406;77;40000-000;48999-999
BA;Cravolândia;2909505;73;40000-000;48999-999
BA;Crisópolis;2909604;75;40000-000;48999-999
BA;Cristópolis;2909703;77;40000-000;48999-999
BA;Cruz Das Almas;2909802;75;40000-000;48999-999
BA;Curaçá;2909901;74;40000-000;48999-999
BA;Dário Meira;2910008;73;40000-000;48999-999
BA;Dias D'Ávila;2910057;71;40000-000;48999-999
BA;Dom Basílio;2910107;77;40000-000;48999-999
BA;Dom Macedo Costa;2910206;75;40000-000;48999-999
BA;Elísio Medrado;2910305;75;40000-000;48999-999
BA;Encruzilhada;2910404;77;40000-000;48999-999
BA;Entre Rios;2910503;75;40000-000;48999-999
BA;Érico Cardoso;2900504;77;40000-000;48999-999
BA;Esplanada;2910602;75;40000-000;48999-999
BA;Euclides Da Cunha;2910701;75;40000-000;48999-999
BA;Eunápolis;2910727;73;40000-000;48999-999
BA;Fátima;2910750;75;40000-000;48999-999
BA;Feira Da Mata;2910776;77;40000-000;48999-999
BA;Feira De Santana;2910800;75;40000-000;48999-999
BA;Filadélfia;2910859;74;40000-000;48999-999
BA;Firmino Alves;2910909;73;40000-000;48999-999
BA;Floresta Azul;2911006;73;40000-000;48999-999
BA;Formosa Do Rio Preto;2911105;77;40000-000;48999-999
BA;Gandu;2911204;73;40000-000;48999-999
BA;Gavião;2911253;75;40000-000;48999-999
BA;Gentio Do Ouro;2911303;74;40000-000;48999-999
BA;Glória;2911402;75;40000-000;48999-999
BA;Gongogi;2911501;73;40000-000;48999-999
BA;Governador Mangabeira;2911600;75;40000-000;48999-999
BA;Guajeru;2911659;77;40000-000;48999-999
BA;Guanambi;2911709;77;40000-000;48999-999
BA;Guaratinga;2911808;73;40000-000;48999-999
BA;Heliópolis;2911857;75;40000-000;48999-999
BA;Iaçu;2911907;75;40000-000;48999-999
BA;Ibiassucê;2912004;77;40000-000;48999-999
BA;Ibicaraí;2912103;73;40000-000;48999-999
BA;Ibicoara;2912202;77;40000-000;48999-999
BA;Ibicuí;2912301;73;40000-000;48999-999
BA;Ibipeba;2912400;74;40000-000;48999-999
BA;Ibipitanga;2912509;77;40000-000;48999-999
BA;Ibiquera;2912608;75;40000-000;48999-999
BA;Ibirapitanga;2912707;73;40000-000;48999-999
BA;Ibirapuã;2912806;73;40000-000;48999-999
BA;Ibirataia;2912905;73;40000-000;48999-999
BA;Ibitiara;2913002;77;40000-000;48999-999
BA;Ibititá;2913101;74;40000-000;48999-999
BA;Ibotirama;2913200;77;40000-000;48999-999
BA;Ichu;2913309;75;40000-000;48999-999
BA;Igaporã;2913408;77;40000-000;48999-999
BA;Igrapiúna;2913457;73;40000-000;48999-999
BA;Iguaí;2913507;73;40000-000;48999-999
BA;Ilhéus;2913606;73;40000-000;48999-999
BA;Inhambupe;2913705;75;40000-000;48999-999
BA;Ipecaetá;2913804;75;40000-000;48999-999
BA;Ipiaú;2913903;73;40000-000;48999-999
BA;Ipirá;2914000;75;40000-000;48999-999
BA;Ipupiara;2914109;77;40000-000;48999-999
BA;Irajuba;2914208;73;40000-000;48999-999
BA;Iramaia;2914307;77;40000-000;48999-999
BA;Iraquara;2914406;75;40000-000;48999-999
BA;Irará;2914505;75;40000-000;48999-999
BA;Irecê;2914604;74;40000-000;48999-999
BA;Itabela;2914653;73;40000-000;48999-999
BA;Itaberaba;2914703;75;40000-000;48999-999
BA;Itabuna;2914802;73;40000-000;48999-999
BA;Itacaré;2914901;73;40000-000;48999-999
BA;Itaeté;2915007;75;40000-000;48999-999
BA;Itagi;2915106;73;40000-000;48999-999
BA;Itagibá;2915205;73;40000-000;48999-999
BA;Itagimirim;2915304;73;40000-000;48999-999
BA;Itaguaçu Da Bahia;2915353;74;40000-000;48999-999
BA;Itaju Do Colônia;2915403;73;40000-000;48999-999
BA;Itajuípe;2915502;73;40000-000;48999-999
BA;Itamaraju;2915601;73;40000-000;48999-999
BA;Itamari;2915700;73;40000-000;48999-999
BA;Itambé;2915809;77;40000-000;48999-999
BA;Itanagra;2915908;75;40000-000;48999-999
BA;Itanhém;2916005;73;40000-000;48999-999
BA;Itaparica;2916104;71;40000-000;48999-999
BA;Itapé;2916203;73;40000-000;48999-999
BA;Itapebi;2916302;73;40000-000;48999-999
BA;Itapetinga;2916401;77;40000-000;48999-999
BA;Itapicuru;2916500;75;40000-000;48999-999
BA;Itapitanga;2916609;73;40000-000;48999-999
BA;Itaquara;2916708;73;40000-000;48999-999
BA;Itarantim;2916807;73;40000-000;48999-999
BA;Itatim;2916856;75;40000-000;48999-999
BA;Itiruçu;2916906;73;40000-000;48999-999
BA;Itiúba;2917003;74;40000-000;48999-999
BA;Itororó;2917102;73;40000-000;48999-999
BA;Ituaçu;2917201;77;40000-000;48999-999
BA;Ituberá;2917300;73;40000-000;48999-999
BA;Iuiú;2917334;77;40000-000;48999-999
BA;Jaborandi;2917359;77;40000-000;48999-999
BA;Jacaraci;2917409;77;40000-000;48999-999
BA;Jacobina;2917508;74;40000-000;48999-999
BA;Jaguaquara;2917607;73;40000-000;48999-999
BA;Jaguarari;2917706;74;40000-000;48999-999
BA;Jaguaripe;2917805;75;40000-000;48999-999
BA;Jandaíra;2917904;75;40000-000;48999-999
BA;Jequié;2918001;73;40000-000;48999-999
BA;Jeremoabo;2918100;75;40000-000;48999-999
BA;Jiquiriçá;2918209;75;40000-000;48999-999
BA;Jitaúna;2918308;73;40000-000;48999-999
BA;João Dourado;2918357;74;40000-000;48999-999
BA;Juazeiro;2918407;74;40000-000;48999-999
BA;Jucuruçu;2918456;73;40000-000;48999-999
BA;Jussara;2918506;74;40000-000;48999-999
BA;Jussari;2918555;73;40000-000;48999-999
BA;Jussiape;2918605;77;40000-000;48999-999
BA;Lafaiete Coutinho;2918704;73;40000-000;48999-999
BA;Lagoa Real;2918753;77;40000-000;48999-999
BA;Laje;2918803;75;40000-000;48999-999
BA;Lajedão;2918902;73;40000-000;48999-999
BA;Lajedinho;2919009;75;40000-000;48999-999
BA;Lajedo Do Tabocal;2919058;73;40000-000;48999-999
BA;Lamarão;2919108;75;40000-000;48999-999
BA;Lapão;2919157;74;40000-000;48999-999
BA;Lauro De Freitas;2919207;71;40220-050;42740-455
BA;Lençóis;2919306;75;40000-000;48999-999
BA;Licínio De Almeida;2919405;77;40000-000;48999-999
BA;Livramento De Nossa Senhora;2919504;77;40000-000;48999-999
BA;Luís Eduardo Magalhães;2919553;77;40000-000;48999-999
BA;Macajuba;2919603;74;40000-000;48999-999
BA;Macarani;2919702;77;40000-000;48999-999
BA;Macaúbas;2919801;77;40000-000;48999-999
BA;Macururé;2919900;75;40000-000;48999-999
BA;Madre De Deus;2919926;71;40000-000;48999-999
BA;Maetinga;2919959;77;40000-000;48999-999
BA;Maiquinique;2920007;77;40000-000;48999-999
BA;Mairi;2920106;74;40000-000;48999-999
BA;Malhada;2920205;77;40000-000;48999-999
BA;Malhada De Pedras;2920304;77;40000-000;48999-999
BA;Manoel Vitorino;2920403;73;40000-000;48999-999
BA;Mansidão;2920452;77;40000-000;48999-999
BA;Maracás;2920502;73;40000-000;48999-999
BA;Maragogipe;2920601;75;40000-000;48999-999
BA;Maraú;2920700;73;40000-000;48999-999
BA;Marcionílio Souza;2920809;75;40000-000;48999-999
BA;Mascote;2920908;73;40000-000;48999-999
BA;Mata De São João;2921005;71;40000-000;48999-999
BA;Matina;2921054;77;40000-000;48999-999
BA;Medeiros Neto;2921104;73;40000-000;48999-999
BA;Miguel Calmon;2921203;74;40000-000;48999-999
BA;Milagres;2921302;75;40000-000;48999-999
BA;Mirangaba;2921401;74;40000-000;48999-999
BA;Mirante;2921450;77;40000-000;48999-999
BA;Monte Santo;2921500;75;40000-000;48999-999
BA;Morpará;2921609;77;40000-000;48999-999
BA;Morro Do Chapéu;2921708;74;40000-000;48999-999
BA;Mortugaba;2921807;77;40000-000;48999-999
BA;Mucugê;2921906;75;40000-000;48999-999
BA;Mucuri;2922003;73;40000-000;48999-999
BA;Mulungu Do Morro;2922052;74;40000-000;48999-999
BA;Mundo Novo;2922102;74;40000-000;48999-999
BA;Muniz Ferreira;2922201;75;40000-000;48999-999
BA;Muquém De São Francisco;2922250;77;40000-000;48999-999
BA;Muritiba;2922300;75;40000-000;48999-999
BA;Mutuípe;2922409;75;40000-000;48999-999
BA;Nazaré;2922508;75;40000-000;48999-999
BA;Nilo Peçanha;2922607;73;40000-000;48999-999
BA;Nordestina;2922656;75;40000-000;48999-999
BA;Nova Canaã;2922706;73;40000-000;48999-999
BA;Nova Fátima;2922730;75;40000-000;48999-999
BA;Nova Ibiá;2922755;73;40000-000;48999-999
BA;Nova Itarana;2922805;73;40000-000;48999-999
BA;Nova Redenção;2922854;75;40000-000;48999-999
BA;Nova Soure;2922904;75;40000-000;48999-999
BA;Nova Viçosa;2923001;73;40000-000;48999-999
BA;Novo Horizonte;2923035;77;40000-000;48999-999
BA;Novo Triunfo;2923050;75;40000-000;48999-999
BA;Olindina;2923100;75;40000-000;48999-999
BA;Oliveira Dos Brejinhos;2923209;77;40000-000;48999-999
BA;Ouriçangas;2923308;75;40000-000;48999-999
BA;Ourolândia;2923357;74;40000-000;48999-999
BA;Palmas De Monte Alto;2923407;77;40000-000;48999-999
BA;Palmeiras;2923506;75;40000-000;48999-999
BA;Paramirim;2923605;77;40000-000;48999-999
BA;Paratinga;2923704;77;40000-000;48999-999
BA;Paripiranga;2923803;75;40000-000;48999-999
BA;Pau Brasil;2923902;73;40000-000;48999-999
BA;Paulo Afonso;2924009;75;40000-000;48999-999
BA;Pé De Serra;2924058;75;40000-000;48999-999
BA;Pedrão;2924108;75;40000-000;48999-999
BA;Pedro Alexandre;2924207;75;40000-000;48999-999
BA;Piatã;2924306;77;46550-000;46765-000
BA;Pilão Arcado;2924405;74;40000-000;48999-999
BA;Pindaí;2924504;77;40000-000;48999-999
BA;Pindobaçu;2924603;74;40000-000;48999-999
BA;Pintadas;2924652;75;40000-000;48999-999
BA;Piraí Do Norte;2924678;73;40000-000;48999-999
BA;Piripá;2924702;77;40000-000;48999-999
BA;Piritiba;2924801;74;40000-000;48999-999
BA;Planaltino;2924900;73;40000-000;48999-999
BA;Planalto;2925006;77;40000-000;48999-999
BA;Poções;2925105;77;40000-000;48999-999
BA;Pojuca;2925204;71;40000-000;48999-999
BA;Ponto Novo;2925253;74;40000-000;48999-999
BA;Porto Seguro;2925303;73;40000-000;48999-999
BA;Potiraguá;2925402;73;40000-000;48999-999
BA;Prado;2925501;73;40000-000;48999-999
BA;Presidente Dutra;2925600;74;40000-000;48999-999
BA;Presidente Jânio Quadros;2925709;77;40000-000;48999-999
BA;Presidente Tancredo Neves;2925758;73;45416-000;45416-000
BA;Queimadas;2925808;75;40000-000;48999-999
BA;Quijingue;2925907;75;40000-000;48999-999
BA;Quixabeira;2925931;74;40000-000;48999-999
BA;Rafael Jambeiro;2925956;75;40000-000;48999-999
BA;Remanso;2926004;74;40000-000;48999-999
BA;Retirolândia;2926103;75;40000-000;48999-999
BA;Riachão Das Neves;2926202;77;47970-000;47970-000
BA;Riachão Do Jacuípe;2926301;75;40000-000;48999-999
BA;Riacho De Santana;2926400;77;40000-000;48999-999
BA;Ribeira Do Amparo;2926509;75;40000-000;48999-999
